,Category,EBVGen,Cor,Group,Scenario,Rep,Generation
0,Fathers,EBV33,0.8842622090551163,home,50_50,0,33
1,Female candidates,EBV33,0.3089526958918255,home,50_50,0,33
2,Male candidates,EBV33,0.7094016671109598,home,50_50,0,33
3,Male candidates1,EBV33,-0.06930323325140393,home,50_50,0,33
4,Mothers,EBV33,0.5580283723668772,home,50_50,0,33
0,Fathers,EBV34,0.8163982089864124,home,50_50,0,34
1,Female candidates,EBV34,0.3583584156210141,home,50_50,0,34
2,Male candidates,EBV34,0.9589973647327203,home,50_50,0,34
3,Male candidates1,EBV34,0.21899747334232664,home,50_50,0,34
4,Mothers,EBV34,0.5549954544296297,home,50_50,0,34
0,Fathers,EBV35,0.8307893689368664,home,50_50,0,35
1,Female candidates,EBV35,0.2903022766693203,home,50_50,0,35
2,Male candidates,EBV35,0.9523814335028556,home,50_50,0,35
